,full_word,pt1,rest
0,আনন্দময়,আনন্দ,ময়
1,সোনালি,সোন,আলি
2,রুপালি,রুপ,আলি
3,মধুর,মধু,র
4,বিরাট,বি,রাট
5,ক্ষুদ্র,ক্ষুদ,্র
6,আকর্ষণীয়,আকর্ষণ,ীয়
7,কল্পনাময়,কল্পনা,ময়
8,আশ্চর্যজনক,আশ্চর্য,জনক
9,রহস্যময়,রহস্য,ময়
10,জমকালো,জম,কালো
11,প্রাচুর্যময়,প্রাচুর্য,ময়
12,জীবনময়,জীবন,ময়
13,হাস্যোজ্জ্বল,হাস্য,উজ্জ্বল
14,মায়াময়,মায়া,ময়
15,মিষ্টিমুখ,মিষ্টি,মুখ
16,আদুরে,আদু,রে  
17,শোভন,শোভ,ন  
18,সুরেলা,সুর,এলা  
19,পরীসুলভ,পরী,সুলভ  
20,বর্ণময়,বর্ণ,ময়  
21,রসাল,রস,আল  
22,মায়াবী,মায়া,বী  
23,ঝলমলে,ঝলমল,এ  
24,বিস্ময়কর,বিস্ময়,কর  
25,উল্লসিত,উল্ল,সিত  
26,কোমল,কোম,ল  
27,মসৃণ,মসৃ,ণ  
28,নির্ঝঞ্ঝাট,নির্ঝঞ্ঝ,াট  
29,নিরুপম,নি,রুপম  
30,উদ্দীপ্ত,উদ্দীপ,ত  
31,জীবন্ত,জীব,ন্ত  
32,উচ্ছ্বসিত,উচ্ছ্ব,সিত  
33,বাতাসময়,বাতাস,ময়  
34,আলোছায়াময়,আলোছায়া,ময়  
35,রূপকথাময়,রূপকথা,ময়  
36,দ্যুতিময়,দ্যুতি,ময়  
37,স্বপ্নময়,স্বপ্ন,ময়  
38,স্বাধীন,স্ব,ধীন  
39,অনাবিল,অনা,বিল  
40,দোলায়মান,দোলা,য়মান  
41,সরল,সর,ল  
42,রঙবাহারী,রঙ,বাহারী  
43,অনির্বচনীয়,অনির্বচন,ীয়  
44,উৎসবমুখর,উৎসব,মুখর  
45,বীরত্বপূর্ণ,বীরত্ব,পূর্ণ  
46,রাজকীয়,রাজ,কীয়  
47,চিকচিকে,চিকচিক,এ  
48,কল্পনাপ্রবণ,কল্পনা,প্রবণ  
49,সহজ,স,হজ  
50,সুখদায়ক,সুখ,দায়ক  
51,বিস্ময়াভিভূত,বিস্ময়,অভিভূত  
52,অভিনব,অভি,নব  
53,রোদেলা,রোদ,এলা  
54,সুমধুর,সু,মধুর  
55,দুর্লভ,দুর,লভ  
56,আশ্চর্যময়,আশ্চর্য,ময়  
57,মনমুগ্ধকর,মন,মুগ্ধকর  
58,স্বর্গীয়,স্বর্গ,ীয়  
59,স্পন্দনশীল,স্পন্দন,শীল  
60,নবজাগ্রত,নব,জাগ্রত  
61,প্রাণবন্ত,প্রাণ,বন্ত  
62,মনোহর,মনো,হর  
63,জলময়,জল,ময়  
64,শিশুসুলভ,শিশু,সুলভ  
65,অনন্য,অন,ন্য  
66,অমূল্য,অ,মূল্য  
67,অচেনা,অ,চেনা  
68,স্বপ্নিল,স্বপ্ন,ইল  
69,বিজয়ী,বিজয়,ী  
70,অফুরন্ত,অফুর,ন্ত  
71,গৌরবময়,গৌরব,ময়  
72,মনকাড়া,মন,কাড়া  
73,সপ্রাণ,স,প্রাণ  
74,হীরকময়,হীরক,ময়  
75,অপার্থিব,অপার্থ,ইব  
76,ধীরস্থির,ধীর,স্থির  
77,নদীমাতৃক,নদী,মাতৃক  
78,পাহাড়ি,পাহাড়,ি  
79,সবুজে মোড়া,সবুজ,ে মোড়া  
80,সুস্বাদু,সু,স্বাদু  
81,আনন্দদায়ক,আনন্দ,দায়ক  
82,বর্ণিল,বর্ণ,ইল  
83,আজব,আ,জব  
84,লালিমাময়,লালিমা,ময়  
85,রৌদ্রজ্জ্বল,রৌদ্র,জ্জ্বল  
86,সুস্থির,সু,স্থির  
87,ধ্রুপদী,ধ্রুপ,দী  
88,অভিযাত্রিক,অভি,যাত্রিক  
89,মেলোডিক,মেলো,ডিক  
90,সুরভিত,সুর,ভিত  
91,সরস,সর,স  
92,কাল্পনিক,কাল্পন,ইক  
93,অবারিত,অ,বারিত  
94,কান্ডারী,কান্ড,আরী  
95,বিজলি,বিজল,ই  
96,ডাকবাক্স,ডাক,বাক্স  
97,কাপড়,কাপ,ড়  
98,বন্ধুত্ব,বন্ধু,ত্ব  
99,ময়না,ময়,না  
100,ডলফিন,ডল,ফিন  
101,দিগন্ত,দিগ,অন্ত  
102,নক্ষত্র,নক্ষ,ত্র  
103,কোষাগার,কোষ,আগার  
104,কল্পবৃক্ষ,কল্প,বৃক্ষ  
105,কাঞ্চন,কান,চন  
106,জলপাই,জল,পাই  
107,শুকতারা,শুক,তারা  
108,নীলিমা,নীল,ইমা  
109,কলম,কল,ম  
110,পেন্সিল,পেন,সিল  
111,গুপ্তধন,গুপ্ত,ধন  
112,লাটিম,লাটি,ম  
113,খেলাঘর,খেলা,ঘর  
114,হেলিকপ্টার,হেলিক,প্টার  
115,শিকড়,শিক,ড়  
116,ফুলদানী,ফুল,দানী  
117,ছায়া,ছা,য়া  
118,আলোড়ন,আলো,ড়ন  
119,জলপরী,জল,পরী  
120,গোলাপ,গোল,আপ  
121,আকাঙ্ক্ষা,আক,অঙ্ক্ষা  
122,লোককথা,লোক,কথা  
123,সৈকত,সৈক,ত  
124,মুক্তমঞ্চ,মুক্ত,মঞ্চ  
125,অনুষ্ঠান,অনু,ষ্ঠান  
126,চরিত্র,চরি,ত্র  
127,কাগজ,কাগ,জ  
128,পায়েস,পায়,এস  
129,সৌন্দর্য,সৌ,ন্দর্য  
130,নন্দনকানন,নন্দন,কানন  
131,সকাল,সকা,ল  
132,বিকেল,বিক,এল  
133,বাঁশি,বাঁশ,ই  
134,সেতার,সে,তার  
135,খুকি,খু,কি  
136,মুকুট,মু,কুট  
137,ডাকপিয়ন,ডাক,পিয়ন  
138,পদক্ষেপ,পদ,ক্ষেপ  
139,মুহূর্ত,মুহূ,র্ত  
140,অভিযান,অভি,যান  
141,উৎসব,উৎ,সব  
142,পবিত্রতা,পবিত্র,তা  
143,মিষ্টান্ন,মিষ্ট,আন্ন  
144,লুকোচুরি,লুকো,চুরি  
145,তারা,তা,রা  
146,রংধনু,রং,ধনু  
147,যাদু,যা,দু  
148,প্রহেলিকা,প্র,হেলিকা  
149,হাতি,হা,তি  
150,প্রজাপতি,প্রজা,পতি  
151,জোনাকি,জোনা,কি  
152,নৌকা,নৌ,কা  
153,কল্পনা,কল্প,না  
154,নকশা,নক,শা  
155,খরগোশ,খর,গোশ  
156,রাজা,রা,জা  
157,রানী,রা,নী  
158,আকাশ,আ,কাশ  
159,রূপকথা,রূপ,কথা  
160,কৌতূহল,কৌ,তূহল  
161,জাদুকর,জাদু,কর  
162,রাজপুত্র,রাজ,পুত্র  
163,রাজকন্যা,রাজ,কন্যা  
164,রুপো,রু,পো  
165,সুবাস,সু,বাস  
166,সুর্যাস্ত,সূর্য,অস্ত  
167,জাহাজ,জা,হাজ  
168,সমুদ্র,সমু,দ্র  
169,মিঠাই,মিঠ,আই  
170,বাগান,বা,গান  
171,সুতো,সু,তো  
172,পুতুল,পুতু,ল  
173,খুশি,খু,শি  
174,আগুন,আগ,উন  
175,ভেলা,ভে,লা  
176,ফুলকি,ফুল,কি  
177,প্রদীপ,প্র,দীপ  
178,উপহার,উপ,হার  
179,শ্রাবণ,শ্রা,বণ  
180,ময়ূর,ম,য়ূর  
181,ঘোড়া,ঘো,ড়া  
182,বিড়াল,বি,ড়াল  
183,কুকুর,কু,কুর  
184,চশমা,চ,শমা  
185,চকলেট,চক,লেট  
186,লজেন্স,লজেন,স  
187,কাঁঠাল,কাঁঠা,ল  
188,নারকেল,নার,কেল  
189,বায়ু,বা,যু  
190,ডানা,ডা,না  
191,গাড়ি,গা,ড়ি  
192,বিমান,বি,মান  
193,সেতু,সে,তু  
194,দরজা,দর,জা  
195,জানালা,জানা,লা  
196,রাজপ্রাসাদ,রাজ,প্রাসাদ  
197,উপকূল,উপ,কূল  
198,কুয়াশা,কুয়া,শা  
199,স্বপ্ন,স্ব,প্ন  
200,জ্ঞাণী,জ্ঞাণ,ী  
201,বর্ণাঢ্য,বর্ণ,আঢ্য  
202,দুঃসাহসী,দুঃসাহস,ী  
203,অভিযানমুখর,অভিযান,মুখর  
204,মননশীল,মনন,শীল  
205,নন্দিত,নন্দ,িত  
206,ভরসাযোগ্য,ভরসা,যোগ্য  
207,বিশ্বাসী,বিশ্বাস,ী  
208,সদাচারী,সদা,চারী  
209,শিক্ষিত,শিক্ষ,িত  
210,সংবেদনশীল,সংবেদন,শীল  
211,মিষ্টভাষী,মিষ্ট,ভাষী  
212,নিরহংকারী,নি,রহংকারী  
213,সম্মানীয়,সম্মান,ীয়  
214,সুধী,সু,ধী  
215,মৃদুভাষী,মৃদু,ভাষী  
216,আলোকপ্রদ,আলোক,প্রদ  
217,নির্মোহী,নি,র্মোহী  
218,নিশ্চয়তা,নিশ্চয়,তা  
219,অভ্যন্তরীণ,অভ্যন্তর,ীণ  
220,বিপ্লবী,বিপ্লব,ী  
221,অধীর,অ,ধীর  
222,শান্তিপূর্ণ,শান্তি,পূর্ণ  
223,আত্মবিশ্বাসী,আত্ম,বিশ্বাসী  
224,আত্মসম্মানিত,আত্ম,সম্মানিত  
225,পরিণত,পরি,ণত  
226,অধ্যবসায়ী,অধ্যবসায়,ী  
227,বিশ্লেষণাত্মক,বিশ্লেষণ,আত্মক  
228,মহৎপ্রাণ,মহৎ,প্রাণ  
229,শুদ্ধচিত্ত,শুদ্ধ,চিত্ত  
230,শ্রদ্ধেয়,শ্রদ্ধা,য়  
231,স্বার্থহীন,স্বার্থ,হীন  
232,সত্যনিষ্ঠ,সত্য,নিষ্ঠ  
233,স্বয়ংসম্পূর্ণ,স্বয়ং,সম্পূর্ণ  
234,সৎচরিত্র,সৎ,চরিত্র  
235,উজ্জ্বলময়,উজ্জ্বল,ময়  
236,নির্মলচিত্ত,নির্মল,চিত্ত  
237,পরিপূর্ণতা,পরিপূর্ণ,তা  
238,সম্ভ্রান্ত,সম্ভ্রা,ন্ত  
239,আত্মোন্নত,আত্ম,উন্নত  
240,নির্মলমনা,নির্মল,মনা  
241,সুদর্শন,সু,দর্শন  
242,সদয়,স,দয়  
243,গুণবান,গুণ,বান  
244,স্বস্তিদায়ক,স্বস্তি,দায়ক  
245,সিদ্ধান্তমূলক,সিদ্ধান্ত,মূলক  
246,সম্মাননীয়,সম্মান,নীয়  
247,দরদী,দরদ,ী  
248,বিশ্বাসযোগ্য,বিশ্বাস,যোগ্য  
249,প্রশ্ন,প্র,শ্ন
250,মিথ্যা,মিথ্য,া
251,ধারণা,ধারণ,া
252,বিভাগ,বিভা,গ
253,সাম্রাজ্য,সাম্রা,জ্য
254,অধিকার,অধি,কার
255,সরকার,সর,কার
256,শিক্ষা,শিক,্ষা
257,দক্ষতা,দক্ষ,তা
258,জীবন,জী,বন
259,মৃত্যু,মৃত,্যু
260,নতুন,নতু,ন
261,পুরানো,পুরা,নো
262,গুরুত্ব,গুরু,ত্ব
263,ভালবাসা,ভাল,বাসা
264,দুঃখ,দুঃ,খ
265,কষ্ট,কষ্,ট
266,বিরক্তি,বিরক্ত,ি
267,শান্তি,শান,তি
268,হাসি,হা,সি
269,কান্না,কান,না
270,মহাসাগর,মহাসা,গর
271,মহান,মহা,ন
272,সুন্দরী,সু,ন্দরী
273,বীর,বী,র
274,সাহস,সাহ,স
275,ধৈর্য,ধৈ,র্য
276,শক্তি,শক্ত,ি
277,দুর্বল,দুর,বল
278,স্বাভাবিক,স্বাভা,বিক
279,অস্বাভাবিক,অস্বা,ভাবিক
280,আত্মবিশ্বাস,আত্ম,বিশ্বাস
281,আত্মহত্যা,আত্ম,হত্যা
282,শক্তিশালী,শক্তি,শালী
283,দৃঢ়,দৃ,ঢ়
284,বিনম্র,বিন,ম্র
285,সাহায্য,সাহা,য্য
286,সহযোগিতা,সহ,যোগিতা
287,সংগ্রাম,সং,গ্রাম
288,আলোচনা,আলো,চনা
289,সত্যতা,সত্য,তা
290,আস্থা,আস,থা
291,বিশ্বাস,বিশ,বাস
292,পরাজয়,পরা,জয়
293,রক্ষা,রক্ষ,া
294,অবরোধ,অব,রোধ
295,পূজা,পূজ,া
296,প্রার্থনা,প্রার্থ,না
297,ঈশ্বর,ঈশ,্বর
298,আধ্যাত্মিক,আধ্যা,ত্মিক
299,ভক্তি,ভক,তি
300,পুণ্য,পু,ণ্য
301,মন্দির,মন্দি,র
302,মসজিদ,মস,জিদ
303,গীর্জা,গী,র্জা
304,চরণ,চর,ণ
305,শক্তিমান,শক্তি,মান
306,বিশ্ববোধ,বিশ্ব,বোধ
307,শ্রদ্ধা,শ্রদ্ধ,া
308,ধর্মী,ধর্ম,ী
309,অধ্যায়,অধ্য,ায়
310,নমস্কার,নম,স্কার
311,রচনা,রচ,না
312,গীত,গী,ত
313,গল্প,গল,প
314,কাহিনী,কাহি,নী
315,লেখক,লেখ,ক
316,লেখিকা,লেখি,কা
317,স্মৃতি,স্মৃ,তি
318,অভিজ্ঞতা,অভি,জ্ঞাতা
319,অলঙ্করণ,অলং,করণ
320,প্রথা,প্র,থা
321,মিথ,মি,থ
322,ধর্মবিশ্বাস,ধর্ম,বিশ্বাস
323,পূর্বপুরুষ,পূর্ব,পুরুষ
324,পশ্চিম,পশি,ম
325,দক্ষিণ,দক্ষী,ণ
326,নগর,নগ,র
327,গ্রাম,গ্রা,ম
328,কৃষি,কৃ,ষি
329,বিক্রয়,বিক্র,য়
330,ক্রেতা,ক্রে,তা
331,বিক্রেতা,বিক্রে,তা
332,ব্যবসায়ী,ব্যবসা,ঈ
333,দোকান,দোকা,ন
334,বাজার,বাজা,র
335,পসরা,পসর,া
336,সামগ্রী,সামগ,্রী
337,কারখানা,কার,খানা
338,সংস্থা,সং,স্থা
339,প্রতিষ্ঠান,প্রতিষ,্ঠান
340,কর্মচারী,কর্ম,চারী
341,পরিচালক,পরি,চালক
342,ব্যবস্থাপক,ব্যব,স্থাপক
343,এজেন্ট,এ,জেন্ট
344,আন্তর্জাতিক,আন্ত,জাতিক
345,জাতীয়,জাত,ীয়
346,সরকারি,সর,কারি
347,নির্বাচন,নি,র্বাচন
348,প্রতিনিধি,প্রতিম,নিদি
349,বিচার,বিচা,র
350,সাক্ষ্য,সাক্ষ,্য
351,অভিযোগ,অভি,যোগ
352,বিচারক,বিচা,রক
353,বিচারব্যবস্থা,বিচা,রব্যবস্থা
354,সংগ্রহ,সং,গ্রহ
355,অপরাধ,অপরা,ধ
356,স্বাধীনতা,স্বাধীন,তা  
357,স্বচ্ছতা,স্বচ্ছ,তা  
358,সুপরিচিত,সু,পরিচিত  
359,সুন্দরের,সুন্দর,এর  
360,সুবিবেচিত,সু,বিবেচিত  
361,সুশৃঙ্খলতা,সুশৃঙ্খল,তা  
362,সুসংগঠিত,সু,সংগঠিত  
363,হৃদয়স্পর্শী,হৃদয়,স্পর্শী  
364,হাস্যরসাত্মক,হাস্য,রসাত্মক  
365,সহজবোধ্য,সহজ,বোধ্য  
366,সঠিকতা,সঠিক,তা  
367,সমৃদ্ধশালী,সমৃদ্ধ,শালী  
368,সৃষ্টিশীল,সৃষ্টি,শীল  
369,সাধারণত,সাধারণ,ত  
370,সুবিন্যস্ত,সু,বিন্যস্ত  
371,সুবিবেচনা,সু,বিবেচনা  
372,উৎসাহব্যঞ্জক,উৎসাহ,ব্যঞ্জক  
373,নিশ্চিত,নি,শ্চিত  
374,নির্মলতা,নির্মল,তা  
375,নিষ্ঠা,নি,ষ্ঠা  
376,পুণ্যময়,পুণ্য,ময়  
377,পরিবর্তনশীল,পরিবর্তন,শীল  
378,পরিপক্বতা,পরিপক্ব,তা  
379,পরীক্ষামূলক,পরীক্ষা,মূলক  
380,প্রজ্ঞাশালী,প্রজ্ঞা,শালী  
381,প্রবাহমান,প্রবাহ,মান  
382,প্রবুদ্ধ,প্র,বুদ্ধ  
383,প্রসারণশীল,প্রসারণ,শীল  
384,প্রসিদ্ধি,প্র,সিদ্ধি  
385,প্রযোজ্য,প্র,যোজ্য  
386,প্রভাবশীল,প্রভাব,শীল  
387,ফলপ্রদ,ফল,প্রদ  
388,বৈজ্ঞানিক,বিজ্ঞান,ইক  
389,বৈশিষ্ট্যমণ্ডিত,বৈশিষ্ট্য,মণ্ডিত  
390,বুদ্ধিদীপ্ত,বুদ্ধি,দীপ্ত  
391,ভাষাশুদ্ধি,ভাষা,শুদ্ধি  
392,ভাষাতত্ত্ব,ভাষা,তত্ত্ব  
393,ভালোমানুষ,ভালো,মানুষ  
394,ভালোবাসার,ভালোবাসা,র  
395,মধুরতা,মধুর,তা  
396,মহত্ব,মহৎ,ত্ব  
397,মেধাসম্পন্ন,মেধা,সম্পন্ন  
398,মুগ্ধতা,মুগ্ধ,তা  
399,মরমী,মরম,ই  
400,যথেষ্ট,যথে,ষ্ট  
401,রুচিশীল,রুচি,শীল  
402,রঙিনতা,রঙিন,তা  
403,লাবণ্যতা,লাবণ্য,তা  
404,সংশোধনযোগ্য,সংশোধন,যোগ্য  
405,সম্প্রসারণশীল,সম্প্রসারণ,শীল  
406,সুবিখ্যাত,সু,বিখ্যাত  
407,স্বল্পমেয়াদী,স্বল্প,মেয়াদী  
408,স্বতন্ত্রতা,স্বতন্ত্র,তা  
409,স্বীকৃত,স্বী,কৃত  
410,হৃদয়বান,হৃদয়,বান  
411,হাস্যকর,হাস্য,কর  
412,নির্দিষ্টতা,নির্দিষ্ট,তা  
413,নিখুঁত,নি,খুঁত  
414,নিরাময়যোগ্য,নিরাময়,যোগ্য  
415,নিবেদিত,নি,বেদিত  
416,নির্বাক,নি,র্বাক  
417,নির্ভুল,নি,র্ভুল  
418,নির্ণায়ক,নি,র্ণায়ক  
419,নিপুণতা,নিপুণ,তা  
420,নৈসর্গিক,নৈসর্গ,ইক  
421,নিয়মিত,নিয়ম,িত  
422,নিয়মাবলী,নিয়ম,আবলী  
423,নিয়ন্ত্রণযোগ্য,নিয়ন্ত্রণ,যোগ্য  
424,নিপীড়িত,নি,পীড়িত  
425,নিখাদ,নি,খাদ  
426,নির্ভরতামূলক,নির্ভরতা,মূলক  
427,নির্ভরশীল,নির্ভর,শীল  
428,নির্বাচনমূলক,নির্বাচন,মূলক  
429,অপরিসীম,অ,পরিসীম  
430,অনুকূল,অনু,কূল  
431,অনুরাগী,অনু,রাগী  
